id,firebase_key,power,mode,eco,powerful,temp_room,temp_set,humidity,timestamp,created_at
1830526,184,1,HEAT,1,0,23.0,24.0,19.0,38095814,2026-04-05 12:03:34
1846437,185,1,HEAT,1,0,24.0,24.0,20.0,38996176,2026-04-05 12:18:32
1862806,186,1,HEAT,1,0,23.0,24.0,19.0,39909441,2026-04-05 12:33:51
1878889,187,1,HEAT,1,0,23.0,24.0,19.0,40809791,2026-04-05 12:48:49
1895246,188,1,HEAT,1,0,24.0,24.0,19.0,41722916,2026-04-05 13:03:58
1911501,189,1,HEAT,1,0,24.0,24.0,19.0,42623262,2026-04-05 13:18:58
1928222,190,1,HEAT,1,0,23.0,24.0,19.0,43536359,2026-04-05 13:34:18
1944649,191,1,HEAT,1,0,24.0,24.0,19.0,44436755,2026-04-05 13:49:17
1959434,192,1,HEAT,1,0,23.0,24.0,19.0,45349671,2026-04-06 01:16:27
1959435,193,1,HEAT,1,0,23.0,24.0,19.0,46250063,2026-04-06 01:16:27
1959436,194,1,HEAT,1,0,23.0,24.0,19.0,47163096,2026-04-06 01:16:27
1959437,195,1,HEAT,1,0,22.0,24.0,20.0,48063430,2026-04-06 01:16:27
1959438,196,1,HEAT,1,0,23.0,24.0,19.0,48976514,2026-04-06 01:16:27
1959439,197,1,HEAT,1,0,23.0,24.0,19.0,49876876,2026-04-06 01:16:27
1959440,198,1,COOL,1,0,22.0,24.0,20.0,50097365,2026-04-06 01:16:27
1959441,199,1,HEAT,1,0,22.0,24.0,20.0,50102170,2026-04-06 01:16:27
1959442,200,1,COOL,1,0,23.0,24.0,19.0,50105217,2026-04-06 01:16:27
1959443,201,1,COOL,0,1,23.0,24.0,19.0,50110466,2026-04-06 01:16:27
1966918,202,1,COOL,0,0,21.0,24.0,20.0,26556,2026-04-06 01:23:54
1966919,203,1,COOL,1,0,22.0,24.0,20.0,31256,2026-04-06 01:23:54
1967124,204,1,COOL,0,1,22.0,24.0,24.0,37599,2026-04-06 01:24:04
1968355,205,1,HEAT,0,1,22.0,24.0,20.0,106918,2026-04-06 01:25:16
1981540,206,1,HEAT,0,0,22.0,24.0,20.0,880207,2026-04-06 01:38:12
1981541,207,1,HEAT,1,0,26.0,24.0,18.0,887385,2026-04-06 01:38:12
1984870,208,1,HEAT,1,0,26.0,24.0,18.0,1787718,2026-04-06 09:44:05
1984871,209,1,HEAT,1,0,24.0,24.0,19.0,912238,2026-04-06 09:44:05
1984872,210,1,HEAT,1,0,24.0,24.0,19.0,914583,2026-04-06 09:44:05
1984873,211,0,HEAT,1,0,24.0,24.0,19.0,24100,2026-04-06 09:44:05
1984874,212,0,HEAT,1,0,24.0,24.0,19.0,924437,2026-04-06 09:44:05
1984875,213,0,HEAT,1,0,22.0,24.0,20.0,913966,2026-04-06 09:44:05
1984876,214,0,HEAT,1,0,24.0,24.0,19.0,911631,2026-04-06 09:44:05
1984877,215,0,HEAT,1,0,25.0,24.0,18.0,911446,2026-04-06 09:44:05
1984878,216,0,HEAT,1,0,25.0,24.0,18.0,911691,2026-04-06 09:44:05
1984879,217,1,HEAT,1,0,27.0,24.0,17.0,209132,2026-04-06 09:44:05
1984880,218,1,COOL,1,0,27.0,24.0,17.0,214941,2026-04-06 09:44:05
1984881,219,1,HEAT,1,0,27.0,24.0,20.0,220029,2026-04-06 09:44:05
1984882,220,1,HEAT,0,1,27.0,24.0,17.0,223463,2026-04-06 09:44:05
1984883,221,1,HEAT,0,0,27.0,24.0,17.0,398955,2026-04-06 09:44:05
1984884,222,1,HEAT,1,0,27.0,24.0,17.0,408560,2026-04-06 09:44:05
1984885,223,1,HEAT,1,0,27.0,24.0,17.0,1308967,2026-04-06 09:44:05
1984886,224,1,HEAT,1,0,27.0,24.0,17.0,2210215,2026-04-06 09:44:05
1984887,225,1,HEAT,1,0,27.0,24.0,17.0,3111477,2026-04-06 09:44:05
1984888,226,1,HEAT,1,0,25.0,24.0,18.0,4012899,2026-04-06 09:44:05
1984889,227,1,HEAT,1,0,25.0,24.0,18.0,4914305,2026-04-06 09:44:05
1985574,228,1,HEAT,1,0,24.0,24.0,19.0,5815678,2026-04-06 09:44:37
2005269,229,1,HEAT,1,0,24.0,24.0,19.0,6717053,2026-04-06 09:59:34
2025280,230,1,HEAT,1,0,24.0,24.0,19.0,7618275,2026-04-06 10:14:42
2045147,231,1,HEAT,1,0,24.0,24.0,19.0,8519664,2026-04-06 10:29:39
2049324,232,1,HEAT,0,1,24.0,24.0,19.0,8703742,2026-04-06 10:32:49
2056082,233,1,HEAT,0,0,24.0,24.0,19.0,9016872,2026-04-06 10:37:55
2056317,234,1,HEAT,1,0,29.0,24.0,16.0,9023723,2026-04-06 10:38:05
2076528,235,1,HEAT,1,0,29.0,24.0,16.0,9924150,2026-04-06 10:53:03
2097061,236,1,HEAT,1,0,26.0,24.0,18.0,10825561,2026-04-06 11:08:12
2117444,237,1,HEAT,1,0,25.0,24.0,18.0,11726977,2026-04-06 11:23:10
2137913,238,1,HEAT,1,0,24.0,24.0,19.0,12628340,2026-04-06 11:38:07
2158707,239,1,HEAT,1,0,24.0,24.0,19.0,13529729,2026-04-06 11:53:13
